[2025-09-29 22:56:56] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 22:57:05] [info] ➡️ GET / 요청 from ::1
[2025-09-29 22:57:05] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 22:57:05] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 22:57:05] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:15:35] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:15:35] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:15:35] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:15:35] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:17:11] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:17:11] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:17:11] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:17:11] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:19:45] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 23:19:48] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:19:48] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:19:48] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:19:48] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:19:54] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:20:01] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:21:21] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 23:23:27] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 23:23:30] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:23:30] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:23:30] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:23:30] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:23:30] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:30:15] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 23:30:26] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:30:26] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:30:26] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:30:26] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:30:33] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:31:35] [info] 🚀 서버 실행 중: http://localhost:3006
[2025-09-29 23:31:39] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:31:39] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:31:39] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:31:39] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:31:39] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:31:53] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:31:53] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:31:53] [info] ➡️ GET /api/users/notices?limit=3&lang=en 요청 from ::1
[2025-09-29 23:31:53] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:31:58] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:31:58] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:31:58] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:31:58] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-29 23:37:46] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:37:46] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:37:46] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:37:46] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-29 23:37:52] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:38:55] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:38:56] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:38:56] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:38:56] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-29 23:38:58] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:44:23] [info] ➡️ GET / 요청 from ::1
[2025-09-29 23:44:23] [info] ➡️ GET /.well-known/appspecific/com.chrome.devtools.json 요청 from ::1
[2025-09-29 23:44:23] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:44:23] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-29 23:44:23] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-29 23:44:26] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-29 23:44:32] [info] ➡️ POST /api/users/login 요청 from ::1
[2025-09-29 23:44:33] [info] ➡️ GET /api/admin/summary 요청 from ::1
[2025-09-29 23:44:45] [info] ➡️ GET /api/platforms?lang=ko 요청 from ::1
[2025-09-29 23:44:45] [info] ➡️ GET /api/admin/users?username=&status=&startDate=&endDate=&warningOnly=false&platform=&referral_id=&page=1&limit=15 요청 from ::1
[2025-09-29 23:44:49] [info] ➡️ GET /api/admin/messages/sent 요청 from ::1
[2025-09-30 00:05:40] [info] ➡️ GET / 요청 from ::1
[2025-09-30 00:05:40] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-30 00:05:40] [info] ➡️ GET /api/exchange-rate 요청 from ::1
[2025-09-30 00:05:40] [info] ➡️ GET /api/users/notices?limit=3&lang=ko 요청 from ::1
[2025-09-30 00:05:42] [info] ➡️ GET /api/undefined/exchange-rate 요청 from ::1
[2025-09-30 00:05:47] [info] ➡️ POST /api/users/login 요청 from ::1
